company,director,genre,name
Delphi V Productions,Paul Michael Glaser,Action,Band of the Hand
Cannon Group,John Frankenheimer,Crime,52 Pick-Up
Paramount Pictures,Randa Haines,Drama,Children of a Lesser God
Columbia Pictures Corporation,Mark L. Lester,Action,Armed and Dangerous
Black Snake,Jim Jarmusch,Comedy,Down by Law
Orion Pictures,Robert Mandel,Action,F/X
Fuji Television Network,Masanori Hata,Adventure,The Adventures of Milo and Otis
Religioso Primitiva,Jonathan Demme,Comedy,Something Wild
Gladden Entertainment,Marshall Brickman,Sci-Fi,The Manhattan Project
Paramount Pictures,Fred Walton,Horror,April Fool's Day
Brooksfilms,Alan Johnson,Action,Solarbabies
Kings Road Entertainment,Jim McBride,Comedy,The Big Easy
Lawrence Gordon Productions,Penny Marshall,Comedy,Jumpin' Jack Flash
Carthago Films S.a.r.l.,Roman Polanski,Adventure,Piratas
Meltdown Productions,Jimmy T. Murakami,Animation,When the Wind Blows
Touchstone Pictures,Jeff Kanew,Comedy,Tough Guys
Compañía Iberoamericana de TV,Pedro Almodóvar,Drama,Matador
New World Pictures,Harley Cokeliss,Action,Black Moon Rising
Cinema Group Ventures,Roger Spottiswoode,Comedy,The Best of Times
Paragon Arts International,Kevin Tenney,Horror,Witchboard
Touchstone Pictures,Paul Mazursky,Comedy,Down and Out in Beverly Hills
Capital Equipment Leasing,Trevor Nunn,Biography,Lady Jane
Columbia Pictures Corporation,Thomas Michael Donnelly,Crime,Quicksilver
Sunbow Productions,Mike Joens,Animation,My Little Pony: The Movie
Virgin Vision,Ken Russell,Horror,Gothic
Producers Sales Organization (PSO),Hal Ashby,Action,8 Million Ways to Die
TriStar Pictures,Richard Pearce,Crime,No Mercy
Orion Pictures,Gene Wilder,Comedy,Haunted Honeymoon
Empire Pictures,Ted Nicolaou,Comedy,TerrorVision
Golan-Globus Productions,Gary Nelson,Action,Allan Quatermain and the Lost City of Gold
HandMade Films,Neil Jordan,Crime,Mona Lisa
Delphi Films,Garry Marshall,Comedy,Nothing in Common
Cannon Group,J. Lee Thompson,Action,Firewalker
Cannon Screen Entertainment,Nicolas Roeg,Adventure,Castaway
Amaretto Films,Richard Wenk,Comedy,Vamp
British Film Institute (BFI),Derek Jarman,Biography,Caravaggio
Les Films Plain Chant,Leos Carax,Crime,Mauvais Sang
Paramount Pictures,Duncan Gibbins,Drama,Fire with Fire
Warner Bros.,Harold Ramis,Comedy,Club Paradise
Universal Pictures,Ivan Reitman,Comedy,Legal Eagles
Thorn EMI Screen Entertainment,Christopher Morahan,Comedy,Clockwise
Atlantic Entertainment Group,Robert M. Young,Drama,Extremities
Metro-Goldwyn-Mayer (MGM),Brian De Palma,Comedy,Wise Guys
Atlantic Entertainment Group,Peter Medak,Drama,The Men's Club
DD Productions,Claude Berri,Drama,Jean de Florette
Balcor Film Investors,Tom DeSimone,Drama,Reform School Girls
DD Productions,Claude Berri,Drama,Manon of the Spring
HandMade Films,Jim Goddard,Adventure,Shanghai Surprise
Lorimar Productions,Sidney Lumet,Drama,Power
Not specified,Jerry Kramer,Comedy,Modern Girls
De Laurentiis Entertainment Group (DEG),Bruce Beresford,Comedy,Crimes of the Heart
Cinema VII,John McTiernan,Horror,Nomads
Empire Pictures,Peter Manoogian,Action,Eliminators
TMS Pictures,George Mendeluk,Comedy,Meatballs III: Summer Job
Golan-Globus Productions,J. Lee Thompson,Action,Murphy's Law
Edward R. Pressman Film,David Byrne,Musical,True Stories
Warner Bros.,Prince,Comedy,Under the Cherry Moon
Delphi V Productions,Moshé Mizrahi,Drama,Every Time We Say Goodbye
Goldcrest Films International,Julien Temple,Drama,Absolute Beginners
Little Bear,Bertrand Tavernier,Drama,Round Midnight
"Cannon Group, The",Sam Firstenberg,Action,Avenging Force
Simcom Limited,Paul Lynch,Action,Bullies
Compact Yellowbill,John Hough,Adventure,Biggles: Adventures in Time
Lorimar Productions,Albert Magnoli,Drama,American Anthem
Columbia Pictures Corporation,Richard Tuggle,Action,Out of Bounds
Crown International Pictures,David Beaird,Comedy,My Chauffeur
Rastar Pictures,Gene Saks,Comedy,Brighton Beach Memoirs
Ministère de la Culture et de la Communication,Éric Rohmer,Drama,Summer
Cannon Group,Paul Nicholas,Drama,The Naked Cage
Cannon Screen Entertainment,Richard Franklin,Horror,Link
Edward R. Pressman Film,Bob Swaim,Thriller,Half Moon Street
Aaron Spelling Productions,Tom Moore,Drama,"night, Mother"
Blake Edwards,Blake Edwards,Action,A Fine Mess
Chroma III Productions,Mark Griffiths,Comedy,Hardbodies 2
Fons Rademakers Produktie,Fons Rademakers,Drama,The Assault
Griffon Productions,Paul Schneider,Comedy,Willy/Milly
Heron Communications,Janet Greek,Drama,The Ladies Club
Delphi V Productions,Stuart Rosenberg,Action,Let's Get Harry
De Laurentiis Entertainment Group (DEG),Daryl Duke,Adventure,Tai-Pan
Scary Stuff,Jeffrey Delman,Comedy,Deadtime Stories
Escalante Productions,Dick Richards,Action,Heat
Kings Road Entertainment,Robert Mandel,Comedy,Touch and Go
Canadian Broadcasting Corporation (CBC),Charles Jarrott,Biography,The Boy in Blue
Universal Pictures,Alan Alda,Comedy,Sweet Liberty
Marquis,William Fruet,Comedy,Killer Party
Rondo Productions,Bill Sherwood,Drama,Parting Glances
Nelvana,Dale Schott,Animation,Care Bears Movie II: A New Generation
Columbia Pictures Corporation,Richard Pryor,Biography,"Jo Jo Dancer, Your Life Is Calling"
Balcor Film Investors,Andrew Lane,Action,Jake Speed
Cinema Group Ventures,Renny Harlin,Action,Born American
Paramount Pictures,Michelle Manning,Action,Blue City
Cascade Films,Nadia Tass,Comedy,Malcolm
Miramax,Bob Weinstein,Comedy,Playing for Keeps
Golan-Globus Productions,Andrey Konchalovskiy,Drama,Duet for One
Island Pictures,Evelyn Purcell,Comedy,Nobody's Fool
Paramount Pictures,John Byrum,Comedy,The Whoopee Boys
Blake Edwards,Blake Edwards,Comedy,That's Life!
Hemdale,Hal Needham,Comedy,Body Slam
"Rank Organisation, The",David Drury,Thriller,Defense of the Realm
Cinequanon,Eliseo Subiela,Drama,Man Facing Southeast
Corporation Image M & M,Denys Arcand,Comedy,The Decline of the American Empire
Rastar Films,Jack Fisk,Drama,Violets Are Blue...
Portreeve,Simon Langton,Thriller,The Whistle Blower
American Playhouse,Jerrold Freedman,Drama,Native Son
Carson Productions,Eugene Corr,Drama,Desert Bloom
Alternate Current,Lizzie Borden,Drama,Working Girls
Ciné Valse,Bertrand Blier,Comedy,Ménage
Caméras Continentales,Henning Carlsen,Biography,Oviri
Film Corporation of Kenya,Raju Patel,Action,In the Shadow of Kilimanjaro
Cineplex-Odeon Films,Tim Burstall,Drama,Kangaroo
Cannon Group,Albert Pyun,Action,Dangerously Close
Hyperion Pictures,Carroll Ballard,Family,Nutcracker
Produzioni Europee Associate (PEA),Federico Fellini,Comedy,Ginger and Fred
Metro-Goldwyn-Mayer (MGM),Alan J. Pakula,Crime,Dream Lover
MTM Enterprises,Allan Burns,Drama,Just Between Friends
Lynn-Davis Productions,Gary Hudson,Action,Thunder Run
Longshot,Paul Bartel,Comedy,The Longshot
Silver Screen Partners II,Michael Dinner,Comedy,Off Beat
Roundhouse,Joe Roth,Drama,Streets of Gold
Convy-Fimberg Productions,Bert Convy,Action,Weekend Warriors
J&M; Entertainment,Zoran Perisic,Action,Sky Bandits
Cinetel Films,Fred Olen Ray,Action,Armed Response
Cannon City Produktie Maatschappij B.V.,Franco Zeffirelli,Drama,Otello
Alliance Communications Corporation,Rob Nilsson,Drama,On the Edge
Action Communications,Frank Harris,Action,Low Blow
Cote Blanche Productions,Glen Pitre,Drama,Belizaire the Cajun
Les Films 13,Claude Lelouch,Drama,A Man and a Woman: 20 Years Later
New Line Cinema,Clay Borris,Action,Quiet Cool
Not specified,Gideon Amir,Action,Behind Enemy Lines
Not specified,Francis Schaeffer,Action,Wired to Kill
Fringe Dwellers Productions,Bruce Beresford,Drama,The Fringe Dwellers
T. Films,André Téchiné,Crime,Scene of the Crime
Hanna-Barbera Productions,Don Lusk,Animation,GoBots: Battle of the Rock Lords
Channel Four Films,Charles Gormley,Comedy,The Gospel According to Vic
Grace,Dominic Orlando,Action,Knights of the City
Embassy Pictures,Robert M. Young,Comedy,Saving Grace
Hunter/MFG Production,Gary Grillo,Action,Jackals
Cannon Films,Filippo Ottoni,Comedy,Detective School Dropouts
CBS Entertainment Production,Christopher Cain,Adventure,Where the River Runs Black
DIC Entertainment,Bruno Bianchi,Family,Heathcliff: The Movie
AAR Films,Dennis Klein,Comedy,One More Saturday Night
Act III Communications,Rob Reiner,Adventure,The Princess Bride
Cinemarque Entertainment BV,Clive Barker,Horror,Hellraiser
Natant,Stanley Kubrick,Drama,Full Metal Jacket
Great American Films Limited Partnership,Emile Ardolino,Drama,Dirty Dancing
Warner Bros.,Joel Schumacher,Comedy,The Lost Boys
Amercent Films,John McTiernan,Action,Predator
Braveworld Productions,Paul Michael Glaser,Action,The Running Man
Brooksfilms,Mel Brooks,Adventure,Spaceballs
Orion Pictures,Paul Verhoeven,Action,RoboCop
Warner Bros.,Richard Donner,Action,Lethal Weapon
Paramount Pictures,Brian De Palma,Crime,The Untouchables
De Laurentiis Entertainment Group (DEG),Sam Raimi,Comedy,Evil Dead II
Golan-Globus Productions,Gary Goddard,Action,Masters of the Universe
Home Box Office (HBO),Fred Dekker,Action,The Monster Squad
Paramount Pictures,Adrian Lyne,Drama,Fatal Attraction
Eon Productions,John Glen,Action,The Living Daylights
Twentieth Century Fox Film Corporation,Oliver Stone,Crime,Wall Street
Amblin Entertainment,Steven Spielberg,Drama,Empire of the Sun
Apollo Pictures,Steve Rash,Comedy,Can't Buy Me Love
Warner Bros.,George Miller,Comedy,The Witches of Eastwick
Paramount Pictures,Carl Reiner,Comedy,Summer School
New Line Cinema,Chuck Russell,Action,A Nightmare on Elm Street 3: Dream Warriors
Touchstone Pictures,Chris Columbus,Action,Adventures in Babysitting
RKO Pictures,John Irvin,Action,Hamburger Hill
Universal Pictures,Joseph Sargent,Adventure,Jaws: The Revenge
Cannon Group,Menahem Golan,Action,Over the Top
Paramount Pictures,John Hughes,Comedy,"Planes, Trains & Automobiles"
Circle Films,Joel Coen,Comedy,Raising Arizona
Carolco International N.V.,Alan Parker,Horror,Angel Heart
Hughes Entertainment,Howard Deutch,Drama,Some Kind of Wonderful
Gladden Entertainment,Michael Gottlieb,Comedy,Mannequin
Hawn / Sylbert Movie Company,Garry Marshall,Comedy,Overboard
Warner Bros.,Joe Dante,Action,Innerspace
Metro-Goldwyn-Mayer (MGM),Norman Jewison,Comedy,Moonstruck
Paramount Pictures,Tony Scott,Action,Beverly Hills Cop II
Amblin Entertainment,William Dear,Comedy,Harry and the Hendersons
Recorded Picture Company (RPC),Bernardo Bertolucci,Biography,The Last Emperor
Touchstone Pictures,Barry Levinson,Biography,"Good Morning, Vietnam"
Merchant Ivory Productions,James Ivory,Drama,Maurice
Interscope Communications,Leonard Nimoy,Comedy,3 Men and a Baby
Alive Films,John Carpenter,Horror,Prince of Darkness
Columbia Pictures Corporation,Luis Valdez,Biography,La Bamba
F/M,Kathryn Bigelow,Action,Near Dark
Road Movies Filmproduktion,Wim Wenders,Drama,Wings of Desire
Twentieth Century Fox Film Corporation,Marek Kanievska,Crime,Less Than Zero
Orion Pictures,Roger Donaldson,Action,No Way Out
Universal Pictures,Matthew Robbins,Comedy,*batteries not included
United Artists,Charles Shyer,Comedy,Baby Boom
Cineplex-Odeon Films,Bruce Robinson,Comedy,Withnail & I
Fries Entertainment,Jeffrey Bloom,Drama,Flowers in the Attic
Amercent Films,James L. Brooks,Comedy,Broadcast News
New Century Entertainment Corporation,Tibor Takács,Fantasy,Túnel al infierno
Cannon Films,Sidney J. Furie,Action,Superman IV: The Quest for Peace
Laurel Entertainment Inc.,Michael Gornick,Comedy,Creepshow 2
Atlantic Entertainment Group,Christopher Leitch,Comedy,Teen Wolf Too
Columbia Pictures Industries,Fred Schepisi,Comedy,Roxanne
Rastar Pictures,Herbert Ross,Comedy,The Secret of My Succe$s
Applied Action,Tom Mankiewicz,Comedy,Dragnet
British Screen Productions,Alan Clarke,Comedy,"Rita, Sue and Bob Too"
TriStar Pictures,Blake Edwards,Comedy,Blind Date
New World Pictures,Ethan Wiley,Comedy,House II: The Second Story
Warner Bros.,Jim Drake,Comedy,Police Academy 4: Citizens on Patrol
Atlantic Entertainment Group,Rod Amateau,Adventure,The Garbage Pail Kids Movie
Orion Pictures,Danny DeVito,Comedy,Throw Momma from the Train
Incorporated Television Company (ITC),Joseph Ruben,Horror,The Stepfather
Heron Communications,Jack Sholder,Action,The Hidden
Universal Pictures,Joe Dante,Comedy,Amazon Women on the Moon
Golan-Globus Productions,Barbet Schroeder,Comedy,Barfly
Universal Pictures,Phil Joanou,Comedy,Three O'Clock High
Panorama Film A/S,Gabriel Axel,Comedy,Babette's Feast
Orion Pictures,John Schlesinger,Crime,The Believers
Amercent Films,James Toback,Comedy,The Pick-up Artist
Orion Pictures,Woody Allen,Comedy,Radio Days
Lightyear Entertainment,Robert Altman,Comedy,Aria
Emshell Producers,John R. Cherry III,Comedy,Ernest Goes to Camp
Nouvelles Éditions de Films (NEF),Louis Malle,Drama,Au Revoir les Enfants
Columbia Pictures Corporation,Ridley Scott,Crime,Someone to Watch Over Me
"Guber-Peters Company, The",James Foley,Comedy,Who's That Girl
Universal Pictures,Richard Attenborough,Biography,Cry Freedom
Fourth Protocol,John Mackenzie,Thriller,The Fourth Protocol
Home Box Office (HBO),Hector Babenco,Drama,Ironweed
Amercent Films,Bob Rafelson,Crime,Black Widow
Touchstone Pictures,John Badham,Action,Stakeout
Imagine Films Entertainment,Rod Daniel,Comedy,Like Father Like Son
Pelemele Film,Percy Adlon,Comedy,Bagdad Cafe
Cannon Group,Andrey Konchalovskiy,Drama,Shy People
Twentieth Century Fox Film Corporation,Joe Roth,Comedy,Revenge of the Nerds II: Nerds in Paradise
Simcom Limited,Bruce Pittman,Horror,Prom Night II
Cannon Group,J. Lee Thompson,Action,Death Wish 4: The Crackdown
Amercent Films,Jonathan Kaplan,Comedy,Project X
Finnegan/Pinchuk Productions,William Phelps,Action,North Shore
7 Films Cinéma,Élie Chouraqui,Action,Man on Fire
Cannon Films,Ruggero Deodato,Fantasy,The Barbarians
Columbia Pictures Corporation,Elaine May,Action,Ishtar
Conquering Unicorn,Robert Townsend,Comedy,Hollywood Shuffle
Marimark Productions,Lawrence Bassoff,Comedy,Hunk
Filmhaus,David Mamet,Crime,House of Games
Not specified,Peter Werner,Crime,No Man's Land
Trans World Entertainment (TWE),David Keith,Sci-Fi,The Curse
TriStar Pictures,Peter Yates,Crime,Suspect
TriStar Pictures,Christopher Cain,Action,The Principal
Columbia Pictures Corporation,John Boorman,Comedy,Hope and Glory
Touchstone Pictures,Arthur Hiller,Comedy,Outrageous Fortune
Carolco Entertainment,Walter Hill,Action,Extreme Prejudice
Cannon Group,Sam Firstenberg,Action,American Ninja 2: The Confrontation
Cinecom Entertainment Group,John Sayles,Drama,Matewan
Vista Organization,Bill Norton,Drama,Three for the Road
Columbia Pictures,Paul Weiland,Action,Leonard Part 6
Golan-Globus Productions,Jerry Schatzberg,Crime,Street Smart
Zenith Entertainment,Stephen Frears,Biography,Prick Up Your Ears
Gladden Entertainment,Michael Cimino,Action,The Sicilian
Clear Type,Cheech Marin,Comedy,Born in East L.A.
TAFT Entertainment Pictures,Paul Schrader,Drama,Light of Day
Per Holst Filmproduktion,Bille August,Drama,Pelle the Conqueror
Balcor Film Investors,Bill Froehlich,Comedy,Return to Horror High
Paramount Pictures,Lyndall Hobbs,Comedy,Back to the Beach
Vista Organization,Robert Collector,Horror,Nightflyers
Metro-Goldwyn-Mayer (MGM),Tom Holland,Action,Fatal Beauty
Columbia Pictures Corporation,Jeff Bleckner,Adventure,White Water Summer
Nelson Entertainment,Lindsay Anderson,Drama,The Whales of August
De Laurentiis Entertainment Group (DEG),Bob Giraldi,Comedy,Hiding Out
Kings Road Entertainment,Jimmy Huston,Comedy,My Best Friend Is a Vampire
Orion Pictures,Harley Cokeliss,Action,Malone
RKO Pictures,Steven Lisberger,Comedy,Hot Pursuit
United Artists,Dennis Feldman,Action,Real Men
"Samuel Goldwyn Company, The",Mike Hodges,Action,A Prayer for the Dying
ML Delphi Premier Productions,Francis Ford Coppola,Drama,Gardens of Stone
New World Pictures,Gary Sherman,Action,Wanted: Dead or Alive
Bagdasarian Productions,Janice Karman,Animation,The Chipmunk Adventure
Kindred Limited Partnership,Stephen Carpenter,Horror,The Kindred
Lorimar Motion Pictures,Alan Rudolph,Comedy,Made in Heaven
Gladden Entertainment,Emilio Estevez,Crime,Wisdom
Columbia Pictures,Michael Radford,Crime,White Mischief
Rollins-Joffe Productions,Woody Allen,Drama,September
Vestron Pictures,John Huston,Drama,The Dead
Independent Film Centre,Lance Hool,Action,Steel Dawn
Empire Pictures,Renny Harlin,Crime,Prison
Warner Bros.,Martin Ritt,Drama,Nuts
Bandai Films,Barry Levinson,Comedy,Tin Men
Cannon Group,Lionel Chetwynd,Drama,The Hanoi Hilton
De Laurentiis Entertainment Group (DEG),William Friedkin,Drama,Rampage
Albacore Productions Inc.,Ben Bolt,Drama,The Big Town
Channel Four Films,David Leland,Comedy,Wish You Were Here
Aurora Productions LLC,Tamar Simon Hoffs,Comedy,The Allnighter
Callender Company,Peter Greenaway,Drama,The Belly of an Architect
Hemdale,John Flynn,Action,Best Seller
Lorimar Motion Pictures,Mary Lambert,Drama,Siesta
Great American Films Limited Partnership,Michael Hoffman,Drama,Promised Land
De Laurentiis Entertainment Group (DEG),Curtis Hanson,Crime,The Bedroom Window
Excelsior Film-TV,Nikita Mikhalkov,Comedy,Dark Eyes
Vista Organization,Amy Holden Jones,Fantasy,Maid to Order
Island Pictures,Daniel Petrie,Drama,Square Dance
Commies From Mars Corporation,Alex Cox,Action,Straight to Hell
Nelvana,Hugh Wilson,Comedy,Burglar
Kings Road Entertainment,Phil Alden Robinson,Comedy,In the Mood
Brooksfilms,David Hugh Jones,Biography,84 Charing Cross Road
Silent Night Releasing Corporation,Lee Harry,Horror,"Silent Night, Deadly Night 2"
Cineplex-Odeon Films,Tony Bill,Crime,Five Corners
De Laurentiis Entertainment Group (DEG),Tom McLoughlin,Comedy,Date with an Angel
In-Cine Compañía Industrial Cinematográfica,Alex Cox,Biography,Walker
Cinetel Films,Larry Cohen,Adventure,Deadly Illusion
Zenith Entertainment,Wayne Wang,Mystery,Slam Dance
TriStar Pictures,Roger Young,Action,The Squeeze
British Screen Productions,Terry Jones,Comedy,Personal Services
Golan-Globus Productions,Peter R. Hunt,Action,Assassination
Titan Productions,David DeCoteau,Horror,Creepozoids
Great American Films Limited Partnership,Abel Ferrara,Crime,China Girl
TriStar Pictures,Robert Benton,Comedy,Nadine
Metro-Goldwyn-Mayer (MGM),Arthur Penn,Drama,Dead of Winter
Seasonal Film Corporation,Corey Yuen,Adventure,"No Retreat, No Surrender 2"
Cineplex-Odeon Films,Paul Newman,Drama,The Glass Menagerie
Luna Films,Bigas Luna,Horror,Anguish
Channel Four Films,Pat O'Connor,Drama,A Month in the Country
Conquest Productions,Jeff Burr,Action,From a Whisper to a Scream
Touchstone Pictures,Frank Perry,Comedy,Hello Again
Sands,Christine Edzard,Drama,Little Dorrit
Metro-Goldwyn-Mayer (MGM),Melvin Frank,Comedy,Walk Like a Man
Golan-Globus Productions,Norman Mailer,Comedy,Tough Guys Don't Dance
Warner Bros.,Michael Schultz,Comedy,Disorderlies
New World Entertainment Films,Bill Condon,Drama,"Sister, Sister"
Barry & Enright Productions,Susan Seidelman,Comedy,Making Mr. Right
Mrs. White's Productions,Donald Cammell,Horror,White of the Eye
New Century Entertainment Corporation,Rick Rosenthal,Drama,Russkies
Cannon Group,Jerry Belson,Comedy,Surrender
Columbia Pictures Corporation,Bill Forsyth,Comedy,Housekeeping
Kennedy Miller Productions,John Duigan,Drama,The Year My Voice Broke
DGS Productions,Douglas Grossman,Crime,Hell High
Alexandre Films,Diane Kurys,Drama,A Man in Love
De Laurentiis Entertainment Group (DEG),Bob Clark,Comedy,From the Hip
Northern,Armyan Bernstein,Comedy,Cross My Heart
Lorimar Film Entertainment,Robert Mandel,Adventure,Big Shots
Paramount Pictures,Michael Apted,Comedy,Critical Condition
Cinetel Films,Fred Olen Ray,Action,Cyclone
Kings Road Entertainment,Paul Aaron,Comedy,Morgan Stewart's Coming Home
Cinetel Films,Dorothy Ann Puzo,Action,Cold Steel
Cinema Group,Ron Link,Comedy,Zombie High
Aljosha,Federico Fellini,Comedy,Intervista
New Line Cinema,Charlie Loventhal,Comedy,My Demon Lover
"Cannon Group, The",David Irving,Fantasy,Rumpelstiltskin
Apollo Pictures,Lee H. Katzin,Action,World Gone Wild
Millennial,Peter Manoogian,Action,Enemy Territory
RAI Radiotelevisione Italiana,Peter Del Monte,Drama,Julia and Julia
Centre du Cinéma et de l'Audiovisuel de la Fédération Wallonie-Bruxelles,Dominique Deruddere,Drama,Crazy Love
De Laurentiis Entertainment Group (DEG),John D. Hancock,Drama,Weeds
Flach Film,Jean-Loup Hubert,Drama,The Grand Highway
Laughing Kookaburra Productions,Ken Cameron,Drama,Peter Kenna's The Good Wife
Kings Road Entertainment,Jerry London,Action,Rent-a-Cop
Les Films du Losange,Éric Rohmer,Comedy,Boyfriends and Girlfriends
Channel Four Films,Stephen Frears,Comedy,Sammy and Rosie Get Laid
Balcor Film Investors,Terry Leonard,Action,Death Before Dishonor
Tapestry Films,Rick King,Thriller,The Killing Time
Channel Four Films,Peter Richardson,Action,Eat the Rich
Brigade Productions,Burt Kennedy,Action,The Trouble with Spies
Embark Production,Joe Camp,Adventure,Benji the Hunted
First Take,Fred Walton,Crime,The Rosary Murders
The Swimming Company,Jonathan Demme,Comedy,Swimming to Cambodia
Not specified,Jamaa Fanaka,Comedy,Penitentiary III
Atlantic Entertainment Group,Robert Boris,Action,Steele Justice
Compagnie Eric Rohmer (CER),Éric Rohmer,Comedy,Four Adventures of Reinette and Mirabelle
New World Pictures,Robert Altman,Comedy,Beyond Therapy
"Geffen Company, The",Tim Burton,Comedy,Beetlejuice
Eddie Murphy Productions,John Landis,Comedy,Coming to America
United Artists,Tom Holland,Horror,Child's Play
Twentieth Century Fox Film Corporation,John McTiernan,Action,Die Hard
Metro-Goldwyn-Mayer (MGM),Ron Howard,Action,Willow
New World Pictures,Michael Lehmann,Comedy,Heathers
United Artists,Barry Levinson,Drama,Rain Man
Alive Films,John Carpenter,Action,They Live
Touchstone Pictures,Robert Zemeckis,Animation,Who Framed Roger Rabbit
Akira Committee Company Ltd.,Katsuhiro Ôtomo,Animation,Akira
American Entertainment Partners II L.P.,Penny Marshall,Comedy,Big
Touchstone Pictures,Roger Donaldson,Comedy,Cocktail
